,SEM-I,SEM-II,SEM-III,SEM-IV,SEM-V,SEM-VI,SEM-VII,SEM-VIII
446,6.64,7.50,9.74,9.46,9.70,6.96,6.23,6.86
447,7.39,9.00,9.87,9.75,9.83,9.04,8.77,9.43
448,7.61,8.90,9.74,9.67,9.96,8.30,8.45,8.81
449,6.94,7.58,9.65,9.00,9.61,8.22,8.09,9.05
450,7.50,9.55,9.70,9.79,9.61,7.65,7.50,8.29
451,9.56,9.70,10.00,9.88,9.65,8.87,8.77,9.1
452,9.06,9.80,9.87,9.96,10.00,9.87,8.68,9.62
454,7.28,8.30,9.65,9.75,9.83,8.39,8.32,9.05
455,6.89,8.03,9.78,9.46,9.43,8.65,7.50,7.86
456,8.00,9.60,9.39,9.67,9.74,7.78,7.50,8.1
457,8.97,7.45,9.30,8.71,10.00,8.09,8.09,8.81
458,8.39,9.28,9.87,9.63,9.87,8.87,8.77,8.9
459,7.47,9.35,9.48,9.54,9.74,7.78,7.73,9.1
460,8.33,9.55,9.35,9.88,9.96,8.83,8.18,8.67
461,8.11,9.30,9.91,9.67,10.00,9.09,8.23,8.76
463,7.92,8.93,9.78,9.38,9.83,8.30,8.14,8.81
464,8.28,7.45,8.48,8.04,9.09,7.04,6.45,6.9
465,8.44,9.20,9.70,10.00,9.13,9.17,8.18,9.29
466,7.30,7.20,7.83,8.92,9.09,6.61,6.05,7.29
467,8.22,7.63,9.22,9.58,9.83,7.35,6.27,6.05
468,8.44,7.48,8.48,9.08,9.52,7.26,7.05,8.0
469,7.83,8.70,8.87,9.75,9.70,7.39,7.27,9.0
470,5.97,7.13,8.48,8.67,9.09,6.43,6.00,7.1
471,6.72,6.95,8.00,8.71,9.74,7.04,6.91,7.57
472,9.33,9.85,9.61,9.54,10.00,7.70,7.23,7.71
473,9.67,10.00,9.61,10.00,10.00,9.22,8.64,9.0
474,8.00,9.55,9.00,8.88,9.61,8.96,8.64,9.0
476,7.28,7.50,9.39,9.58,10.00,7.57,7.55,8.1
477,7.28,8.35,6.83,7.25,7.65,7.30,7.14,7.48
478,8.00,8.00,9.74,9.88,9.96,8.30,8.05,9.43
479,7.64,7.90,9.74,9.54,9.87,6.87,7.00,7.81
481,7.44,9.35,9.65,9.58,9.96,8.83,8.64,8.95
482,8.22,8.68,9.61,9.71,9.96,8.83,8.00,8.81
483,6.72,8.25,8.35,8.63,8.70,7.78,6.18,7.52
484,8.78,10.00,9.91,9.88,10.00,9.87,7.91,9.29
485,8.67,9.55,9.39,9.88,9.35,8.13,7.95,9.43
486,8.39,8.80,9.91,9.71,9.96,8.13,7.68,9.14
487,8.67,6.93,9.30,9.25,9.35,7.30,7.05,8.1
488,6.11,7.33,8.48,8.58,8.65,7.57,6.64,7.48
489,8.28,8.40,9.13,8.83,8.83,7.13,7.59,7.62
490,5.69,6.88,9.26,9.38,9.39,7.83,7.82,9.1
491,7.22,8.60,9.52,9.88,9.83,8.00,7.82,8.86
492,8.22,9.65,9.22,9.38,8.96,7.78,8.73,8.57
493,7.61,7.33,9.61,10.00,10.00,7.43,8.50,9.76
494,7.56,9.10,9.74,9.88,9.87,8.26,8.59,9.0
495,8.67,9.70,9.96,10.00,9.74,9.35,8.27,9.14
496,7.44,7.93,10.00,9.88,9.96,9.65,8.23,9.86
497,7.56,8.08,9.74,9.83,9.74,7.87,7.86,8.29
499,7.69,7.58,9.61,9.71,9.70,8.48,7.95,7.38
500,7.72,8.75,10.00,9.50,9.35,8.00,7.55,7.95
501,8.28,9.80,10.00,9.13,8.48,8.04,7.36,9.0
503,8.58,7.58,8.26,8.83,9.22,6.70,6.64,6.95
504,7.83,9.00,9.48,9.38,9.43,8.57,8.09,8.76
505,8.56,7.13,9.57,9.38,9.52,7.87,6.91,8.05
506,6.28,7.45,9.43,8.88,9.48,6.96,7.73,7.86
507,7.00,7.85,9.30,9.21,9.83,8.39,8.00,8.57
509,9.00,7.53,8.70,8.92,9.26,7.17,7.09,7.52
510,7.67,8.45,9.78,9.50,9.61,8.70,7.82,9.0
512,8.44,8.50,9.48,9.79,10.00,7.74,7.50,9.0
513,7.83,9.33,10.00,9.83,9.74,9.96,9.09,9.86
514,7.11,9.23,10.00,9.88,9.87,9.30,9.14,9.57
515,8.42,8.95,9.26,9.50,9.09,7.04,6.77,8.0
516,5.44,6.33,7.26,8.00,7.91,6.74,7.45,8.0
517,7.72,9.80,9.87,10.00,10.00,8.43,8.27,9.0
518,7.58,8.05,9.74,9.42,9.70,7.52,6.68,7.9
519,6.94,7.90,9.17,8.50,9.70,6.87,6.41,7.48
520,9.39,9.70,10.00,9.88,10.00,9.04,9.09,9.57
521,8.28,9.00,9.87,9.79,9.87,8.57,8.00,9.14
522,7.22,8.25,9.74,9.63,9.48,8.78,8.18,9.1
523,6.97,7.88,9.74,9.88,9.83,9.13,8.91,9.71
524,6.50,8.35,9.65,9.63,9.26,8.78,7.50,9.0
525,7.33,7.15,9.22,9.50,8.87,7.87,7.18,7.57
526,8.11,9.35,9.17,9.63,9.22,7.91,8.14,8.76
527,8.28,9.50,9.48,9.38,9.70,8.04,7.68,9.29
528,7.47,7.73,9.48,9.50,9.87,8.30,7.77,9.0
529,7.72,9.60,9.83,9.75,10.00,9.48,8.14,9.29
530,8.78,9.88,9.91,9.75,10.00,7.35,8.00,9.14
531,7.44,9.45,10.00,9.88,10.00,8.78,8.64,9.14
532,8.28,7.20,8.96,9.08,9.35,6.96,7.36,8.52
533,6.69,7.20,7.78,9.17,9.35,8.09,8.23,9.24
534,7.83,8.05,9.87,10.00,9.74,8.43,7.68,8.57
536,8.06,9.10,9.74,9.88,9.61,8.43,7.95,8.71
537,8.94,10.00,10.00,10.00,9.87,10.00,9.86,9.86
539,9.33,9.88,9.87,10.00,9.48,9.74,8.36,9.43
540,8.44,8.80,10.00,10.00,9.70,8.61,8.50,9.52
541,8.47,7.98,9.87,10.00,9.96,7.57,7.41,8.71
542,9.56,10.00,9.87,10.00,9.87,9.35,9.05,9.86
543,6.61,7.33,8.43,9.63,9.83,7.87,7.45,7.86
544,8.61,9.85,9.61,9.96,9.70,8.96,8.32,8.9
545,7.44,7.70,9.61,9.88,9.87,7.09,6.73,8.24
546,6.61,7.65,8.78,9.83,9.83,8.48,7.86,8.43
547,8.67,9.40,10.00,10.00,10.00,9.22,8.91,9.86
549,7.39,8.30,9.22,10.00,9.74,9.30,8.64,9.43
550,6.83,7.03,9.61,10.00,9.74,6.43,6.73,7.29
551,8.94,9.45,9.74,10.00,9.74,9.35,8.77,9.29
552,7.11,9.20,9.74,10.00,10.00,8.57,8.77,8.86
553,6.92,7.50,8.43,9.38,10.00,8.52,7.95,8.67
554,7.72,8.73,9.09,9.88,9.70,8.91,7.68,8.48
555,9.11,9.80,9.61,10.00,9.70,9.09,8.91,9.24
556,9.06,9.80,9.74,9.88,9.87,9.36,8.64,9.29
557,8.83,9.38,9.09,9.83,9.74,8.30,7.68,8.05
558,6.50,8.20,8.57,9.50,9.74,7.39,7.32,8.05
559,7.11,8.68,8.83,9.75,9.43,7.04,7.18,7.86
560,6.04,7.76,8.78,9.83,9.26,6.74,6.77,7.95
561,7.44,9.30,9.09,9.75,9.61,8.91,8.41,9.0
562,8.11,9.18,9.74,9.88,9.35,9.57,9.05,9.33
563,7.78,8.58,9.61,10.00,9.61,8.26,6.77,9.1
565,7.61,9.40,10.00,9.50,9.87,7.87,7.27,8.48
566,8.33,9.50,9.22,8.88,9.48,9.22,9.05,9.38
568,7.11,8.48,9.87,9.75,9.61,9.09,8.50,9.05
569,6.83,8.28,9.61,9.88,9.87,7.52,7.55,8.19
570,7.22,7.68,9.43,10.00,9.71,8.04,7.95,9.43
571,9.72,9.63,9.87,10.00,10.00,8.83,8.77,9.0
573,6.17,6.80,8.43,9.46,9.48,8.52,7.73,8.0
574,7.22,7.80,9.52,10.00,10.00,9.22,8.64,8.86
575,7.47,8.85,8.83,9.88,9.87,7.65,7.18,8.0
576,9.83,9.80,9.48,10.00,9.74,8.96,8.36,9.29
577,5.89,7.28,9.43,8.54,9.26,8.04,7.00,8.29
578,7.89,7.18,9.83,9.75,9.87,8.77,8.32,9.14
579,8.56,9.90,10.00,10.00,10.00,9.09,8.64,9.29
580,8.39,9.33,9.74,9.88,9.83,8.83,8.36,8.14
582,8.11,9.35,9.74,9.88,9.87,9.22,8.50,9.14
583,7.08,8.90,9.48,9.88,10.00,8.70,8.50,9.86
584,8.94,9.90,9.74,9.58,10.00,9.74,8.91,9.0
585,7.33,8.55,8.78,9.75,9.43,8.30,7.82,8.95
586,6.83,7.35,9.26,9.75,9.65,8.30,7.68,8.71
587,8.67,9.60,9.87,9.92,9.78,8.70,8.45,8.9
588,9.00,9.58,10.00,10.00,10.00,8.48,7.27,8.19
590,9.22,10.00,10.00,9.63,9.87,9.61,8.50,9.71
591,6.50,7.13,8.74,9.71,9.61,9.22,9.05,9.14
592,7.39,9.00,9.78,10.00,9.74,9.22,8.77,8.76
593,7.61,8.85,9.74,9.88,9.61,8.09,7.73,8.29
594,10.00,10.00,10.00,10.00,10.00,9.22,9.05,9.14
595,8.50,9.50,9.39,9.75,9.39,8.61,8.27,8.95
